Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteForBookit,Firefox 66.0,,2019-04-29 14:24:10,2019-04-29 14:25:57,1m - 47.505s,FAILED
,,,,,,
Test Cases/Booking02,Firefox 66.0,,2019-04-29 14:24:10,2019-04-29 14:24:46,35.707s,FAILED
"openBrowser(""https://bookit-qa6.com"")",Firefox 66.0,,2019-04-29 14:24:10,2019-04-29 14:24:35,24.981s,PASSED
"click(findTestObject(""homepage/flight_checkbox""))",Firefox 66.0,,2019-04-29 14:24:35,2019-04-29 14:24:37,2.123s,PASSED
"setText(findTestObject(""homepage/city_or_airport""), ""cheese"")",Firefox 66.0,,2019-04-29 14:24:37,2019-04-29 14:24:38,0.712s,PASSED
delay(1),Firefox 66.0,,2019-04-29 14:24:38,2019-04-29 14:24:39,1.026s,PASSED
"click(findTestObject(""homepage/div_Cheese City IL US""))",Firefox 66.0,,2019-04-29 14:24:39,2019-04-29 14:24:40,0.313s,PASSED
"checkinId = getAttribute(findTestObject(""homepage/checkin_date""), ""id"")",Firefox 66.0,,2019-04-29 14:24:40,2019-04-29 14:24:40,0.055s,PASSED
"checkoutId = getAttribute(findTestObject(""homepage/checkout_date""), ""id"")",Firefox 66.0,,2019-04-29 14:24:40,2019-04-29 14:24:40,0.035s,PASSED
"iniDate = moIni + ""/"" + dayIni + ""/"" + yrIni",Firefox 66.0,,2019-04-29 14:24:40,2019-04-29 14:24:40,0.001s,PASSED
"myIniDate = ""$('#"" + checkinId + ""').val('"" + iniDate + ""')""",Firefox 66.0,,2019-04-29 14:24:40,2019-04-29 14:24:40,0.001s,PASSED
"endDate = moEnd + ""/"" + dayEnd + ""/"" + yrEnd",Firefox 66.0,,2019-04-29 14:24:40,2019-04-29 14:24:40,0.001s,PASSED
"myEndDate = ""$('#"" + checkoutId + ""').val('"" + endDate + ""')""",Firefox 66.0,,2019-04-29 14:24:40,2019-04-29 14:24:40,0.001s,PASSED
strMoIni = bookitKeywords.commonFunctions.getMonthName(moIni),Firefox 66.0,,2019-04-29 14:24:40,2019-04-29 14:24:40,0.020s,PASSED
strMoEnd = bookitKeywords.commonFunctions.getMonthName(moEnd),Firefox 66.0,,2019-04-29 14:24:40,2019-04-29 14:24:40,0.000s,PASSED
dIni = Integer.parseInt(dayIni),Firefox 66.0,,2019-04-29 14:24:40,2019-04-29 14:24:40,0.000s,PASSED
dEnd = Integer.parseInt(dayEnd),Firefox 66.0,,2019-04-29 14:24:40,2019-04-29 14:24:40,0.000s,PASSED
println(dIni),Firefox 66.0,,2019-04-29 14:24:40,2019-04-29 14:24:40,0.000s,PASSED
println(dEnd),Firefox 66.0,,2019-04-29 14:24:40,2019-04-29 14:24:40,0.000s,PASSED
"click(findTestObject(""homepage/checkin_date""))",Firefox 66.0,,2019-04-29 14:24:40,2019-04-29 14:24:40,0.250s,PASSED
delay(1),Firefox 66.0,,2019-04-29 14:24:40,2019-04-29 14:24:41,1.003s,PASSED
