Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteForBookit,Firefox 66.0,,2019-04-24 12:09:11,2019-04-24 12:11:02,1m - 51.366s,PASSED
,,,,,,
Test Cases/Booking01,Firefox 66.0,,2019-04-24 12:09:11,2019-04-24 12:09:40,28.968s,PASSED
"openBrowser(""https://bookit-qa6.com"")",Firefox 66.0,,2019-04-24 12:09:11,2019-04-24 12:09:21,9.443s,PASSED
delay(3),Firefox 66.0,,2019-04-24 12:09:21,2019-04-24 12:09:24,3.025s,PASSED
"click(findTestObject(""homepage/flight_checkbox""))",Firefox 66.0,,2019-04-24 12:09:24,2019-04-24 12:09:25,1.083s,PASSED
delay(3),Firefox 66.0,,2019-04-24 12:09:25,2019-04-24 12:09:28,3.003s,PASSED
"setText(findTestObject(""homepage/city_or_airport""), ""cheese"")",Firefox 66.0,,2019-04-24 12:09:28,2019-04-24 12:09:28,0.202s,PASSED
delay(3),Firefox 66.0,,2019-04-24 12:09:28,2019-04-24 12:09:31,3.003s,PASSED
"click(findTestObject(""homepage/div_Cheese City IL US""))",Firefox 66.0,,2019-04-24 12:09:31,2019-04-24 12:09:32,0.343s,PASSED
delay(1),Firefox 66.0,,2019-04-24 12:09:32,2019-04-24 12:09:33,1.003s,PASSED
"checkinId = getAttribute(findTestObject(""homepage/checkin_date""), ""id"")",Firefox 66.0,,2019-04-24 12:09:33,2019-04-24 12:09:33,0.066s,PASSED
"checkoutId = getAttribute(findTestObject(""homepage/checkout_date""), ""id"")",Firefox 66.0,,2019-04-24 12:09:33,2019-04-24 12:09:33,0.053s,PASSED
"iniDate = moIni + ""/"" + dayIni + ""/"" + yrIni",Firefox 66.0,,2019-04-24 12:09:33,2019-04-24 12:09:33,0.000s,PASSED
"myIniDate = ""$('#"" + checkinId + ""').val('"" + iniDate + ""')""",Firefox 66.0,,2019-04-24 12:09:33,2019-04-24 12:09:33,0.000s,PASSED
"executeJavaScript(myIniDate, null)",Firefox 66.0,,2019-04-24 12:09:33,2019-04-24 12:09:33,0.032s,PASSED
"endDate = moEnd + ""/"" + dayEnd + ""/"" + yrEnd",Firefox 66.0,,2019-04-24 12:09:33,2019-04-24 12:09:33,0.000s,PASSED
"myEndDate = ""$('#"" + checkoutId + ""').val('"" + endDate + ""')""",Firefox 66.0,,2019-04-24 12:09:33,2019-04-24 12:09:33,0.000s,PASSED
"executeJavaScript(myEndDate, null)",Firefox 66.0,,2019-04-24 12:09:33,2019-04-24 12:09:33,0.011s,PASSED
delay(1),Firefox 66.0,,2019-04-24 12:09:33,2019-04-24 12:09:34,1.002s,PASSED
"click(findTestObject(""homepage/button_Search""))",Firefox 66.0,,2019-04-24 12:09:34,2019-04-24 12:09:34,0.010s,NOT_RUN
"redirUrl = ""https://results.bookit-qa6.com/hotels.php?ap1=2&fd="" + yrIni + ""-"" + moIni + ""-"" + dayIni + ""&mp1=0&pt=h&rm=1&td="" + yrEnd + ""-"" + moEnd + ""-"" + dayEnd + ""&tripType=hotel&hotelTo=Cheese%20City%2C%20IL%2C%20US&tl=CMI&areaId=1703&fromLocation=Panama%20City%2C%20FL%2C%20US%20(ECP)&fl=ECP""",Firefox 66.0,,2019-04-24 12:09:34,2019-04-24 12:09:34,0.000s,PASSED
navigateToUrl(redirUrl),Firefox 66.0,,2019-04-24 12:09:34,2019-04-24 12:09:37,3.713s,PASSED
waitForPageLoad(5),Firefox 66.0,,2019-04-24 12:09:37,2019-04-24 12:09:38,0.099s,PASSED
closeBrowser(),Firefox 66.0,,2019-04-24 12:09:38,2019-04-24 12:09:40,2.376s,PASSED
,,,,,,
Test Cases/Booking01,Firefox 66.0,,2019-04-24 12:09:40,2019-04-24 12:10:06,26.021s,PASSED
"openBrowser(""https://bookit-qa6.com"")",Firefox 66.0,,2019-04-24 12:09:40,2019-04-24 12:09:47,7.422s,PASSED
delay(3),Firefox 66.0,,2019-04-24 12:09:47,2019-04-24 12:09:50,3.003s,PASSED
"click(findTestObject(""homepage/flight_checkbox""))",Firefox 66.0,,2019-04-24 12:09:50,2019-04-24 12:09:51,0.801s,PASSED
delay(3),Firefox 66.0,,2019-04-24 12:09:51,2019-04-24 12:09:54,3.003s,PASSED
"setText(findTestObject(""homepage/city_or_airport""), ""cheese"")",Firefox 66.0,,2019-04-24 12:09:54,2019-04-24 12:09:54,0.146s,PASSED
delay(3),Firefox 66.0,,2019-04-24 12:09:54,2019-04-24 12:09:57,3.003s,PASSED
"click(findTestObject(""homepage/div_Cheese City IL US""))",Firefox 66.0,,2019-04-24 12:09:57,2019-04-24 12:09:58,0.358s,PASSED
delay(1),Firefox 66.0,,2019-04-24 12:09:58,2019-04-24 12:09:59,0.992s,PASSED
"checkinId = getAttribute(findTestObject(""homepage/checkin_date""), ""id"")",Firefox 66.0,,2019-04-24 12:09:59,2019-04-24 12:09:59,0.065s,PASSED
"checkoutId = getAttribute(findTestObject(""homepage/checkout_date""), ""id"")",Firefox 66.0,,2019-04-24 12:09:59,2019-04-24 12:09:59,0.044s,PASSED
"iniDate = moIni + ""/"" + dayIni + ""/"" + yrIni",Firefox 66.0,,2019-04-24 12:09:59,2019-04-24 12:09:59,0.000s,PASSED
"myIniDate = ""$('#"" + checkinId + ""').val('"" + iniDate + ""')""",Firefox 66.0,,2019-04-24 12:09:59,2019-04-24 12:09:59,0.000s,PASSED
"executeJavaScript(myIniDate, null)",Firefox 66.0,,2019-04-24 12:09:59,2019-04-24 12:09:59,0.021s,PASSED
"endDate = moEnd + ""/"" + dayEnd + ""/"" + yrEnd",Firefox 66.0,,2019-04-24 12:09:59,2019-04-24 12:09:59,0.000s,PASSED
"myEndDate = ""$('#"" + checkoutId + ""').val('"" + endDate + ""')""",Firefox 66.0,,2019-04-24 12:09:59,2019-04-24 12:09:59,0.000s,PASSED
"executeJavaScript(myEndDate, null)",Firefox 66.0,,2019-04-24 12:09:59,2019-04-24 12:09:59,0.010s,PASSED
delay(1),Firefox 66.0,,2019-04-24 12:09:59,2019-04-24 12:10:00,0.991s,PASSED
"click(findTestObject(""homepage/button_Search""))",Firefox 66.0,,2019-04-24 12:10:00,2019-04-24 12:10:00,0.010s,NOT_RUN
