Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteForBookit,Firefox 66.0,,2019-04-23 22:26:42,2019-04-23 22:28:15,1m - 33.015s,PASSED
,,,,,,
Test Cases/Booking01,Firefox 66.0,,2019-04-23 22:26:42,2019-04-23 22:27:05,23.512s,PASSED
"openBrowser(""https://bookit-qa6.com"")",Firefox 66.0,,2019-04-23 22:26:42,2019-04-23 22:26:49,6.490s,PASSED
delay(3),Firefox 66.0,,2019-04-23 22:26:49,2019-04-23 22:26:52,3.016s,PASSED
"click(findTestObject(""homepage/flight_checkbox""))",Firefox 66.0,,2019-04-23 22:26:52,2019-04-23 22:26:52,0.586s,PASSED
delay(3),Firefox 66.0,,2019-04-23 22:26:52,2019-04-23 22:26:55,3.006s,PASSED
"setText(findTestObject(""homepage/city_or_airport""), ""cheese"")",Firefox 66.0,,2019-04-23 22:26:55,2019-04-23 22:26:55,0.125s,PASSED
delay(3),Firefox 66.0,,2019-04-23 22:26:55,2019-04-23 22:26:58,3.007s,PASSED
"click(findTestObject(""homepage/div_Cheese City IL US""))",Firefox 66.0,,2019-04-23 22:26:58,2019-04-23 22:26:59,0.286s,PASSED
delay(3),Firefox 66.0,,2019-04-23 22:26:59,2019-04-23 22:27:02,3.003s,PASSED
"checkinId = getAttribute(findTestObject(""homepage/checkin_date""), ""id"")",Firefox 66.0,,2019-04-23 22:27:02,2019-04-23 22:27:02,0.039s,PASSED
"checkoutId = getAttribute(findTestObject(""homepage/checkout_date""), ""id"")",Firefox 66.0,,2019-04-23 22:27:02,2019-04-23 22:27:02,0.028s,PASSED
"myIniDate = ""$('#"" + checkinId + ""').val('"" + iniDate + ""')""",Firefox 66.0,,2019-04-23 22:27:02,2019-04-23 22:27:02,0.002s,PASSED
"executeJavaScript(myIniDate, null)",Firefox 66.0,,2019-04-23 22:27:02,2019-04-23 22:27:02,0.024s,PASSED
"myEndDate = ""$('#"" + checkoutId + ""').val('"" + endDate + ""')""",Firefox 66.0,,2019-04-23 22:27:02,2019-04-23 22:27:02,0.001s,PASSED
"executeJavaScript(myEndDate, null)",Firefox 66.0,,2019-04-23 22:27:02,2019-04-23 22:27:02,0.011s,PASSED
delay(3),Firefox 66.0,,2019-04-23 22:27:02,2019-04-23 22:27:05,3.004s,PASSED
