Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteForBookit2,Firefox 66.0,,2019-05-02 13:46:59,2019-05-02 13:48:44,1m - 45.557s,FAILED
,,,,,,
Test Cases/Booking03,Firefox 66.0,,2019-05-02 13:46:59,2019-05-02 13:47:23,23.860s,FAILED
"openBrowser(""https://bookit-qa6.com"")",Firefox 66.0,,2019-05-02 13:47:01,2019-05-02 13:47:11,10.625s,PASSED
"click(findTestObject(""homepage/flight_checkbox""))",Firefox 66.0,,2019-05-02 13:47:11,2019-05-02 13:47:13,1.557s,PASSED
"setText(findTestObject(""homepage/city_or_airport""), ""cheese"")",Firefox 66.0,,2019-05-02 13:47:13,2019-05-02 13:47:14,0.910s,PASSED
delay(1),Firefox 66.0,,2019-05-02 13:47:14,2019-05-02 13:47:15,1.005s,PASSED
"click(findTestObject(""homepage/div_Cheese City IL US""))",Firefox 66.0,,2019-05-02 13:47:15,2019-05-02 13:47:16,1.001s,PASSED
"checkinId = getAttribute(findTestObject(""homepage/checkin_date""), ""id"")",Firefox 66.0,,2019-05-02 13:47:16,2019-05-02 13:47:16,0.107s,PASSED
"checkoutId = getAttribute(findTestObject(""homepage/checkout_date""), ""id"")",Firefox 66.0,,2019-05-02 13:47:16,2019-05-02 13:47:16,0.054s,PASSED
"iniDate = moIni + ""/"" + dayIni + ""/"" + yrIni",Firefox 66.0,,2019-05-02 13:47:16,2019-05-02 13:47:16,0.005s,PASSED
"myIniDate = ""$('#"" + checkinId + ""').val('"" + iniDate + ""')""",Firefox 66.0,,2019-05-02 13:47:16,2019-05-02 13:47:16,0.005s,PASSED
"endDate = moEnd + ""/"" + dayEnd + ""/"" + yrEnd",Firefox 66.0,,2019-05-02 13:47:16,2019-05-02 13:47:16,0.003s,PASSED
"myEndDate = ""$('#"" + checkoutId + ""').val('"" + endDate + ""')""",Firefox 66.0,,2019-05-02 13:47:16,2019-05-02 13:47:16,0.003s,PASSED
strMoIni = bookitKeywords.commonFunctions.getMonthName(moIni),Firefox 66.0,,2019-05-02 13:47:16,2019-05-02 13:47:16,0.013s,PASSED
strMoEnd = bookitKeywords.commonFunctions.getMonthName(moEnd),Firefox 66.0,,2019-05-02 13:47:16,2019-05-02 13:47:16,0.003s,PASSED
