Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteForBookit,Chrome 74.0.3729.108,,2019-04-29 14:17:58,2019-04-29 14:19:30,1m - 31.689s,PASSED
,,,,,,
Test Cases/Booking02,Chrome 74.0.3729.108,,2019-04-29 14:17:59,2019-04-29 14:18:22,23.068s,PASSED
"openBrowser(""https://bookit-qa6.com"")",Chrome 74.0.3729.108,,2019-04-29 14:17:59,2019-04-29 14:18:05,5.664s,PASSED
"click(findTestObject(""homepage/flight_checkbox""))",Chrome 74.0.3729.108,,2019-04-29 14:18:05,2019-04-29 14:18:07,2.079s,PASSED
"setText(findTestObject(""homepage/city_or_airport""), ""cheese"")",Chrome 74.0.3729.108,,2019-04-29 14:18:07,2019-04-29 14:18:08,0.498s,PASSED
delay(1),Chrome 74.0.3729.108,,2019-04-29 14:18:08,2019-04-29 14:18:09,1.032s,PASSED
"click(findTestObject(""homepage/div_Cheese City IL US""))",Chrome 74.0.3729.108,,2019-04-29 14:18:09,2019-04-29 14:18:09,0.120s,PASSED
"checkinId = getAttribute(findTestObject(""homepage/checkin_date""), ""id"")",Chrome 74.0.3729.108,,2019-04-29 14:18:09,2019-04-29 14:18:09,0.047s,PASSED
"checkoutId = getAttribute(findTestObject(""homepage/checkout_date""), ""id"")",Chrome 74.0.3729.108,,2019-04-29 14:18:09,2019-04-29 14:18:09,0.039s,PASSED
"iniDate = moIni + ""/"" + dayIni + ""/"" + yrIni",Chrome 74.0.3729.108,,2019-04-29 14:18:09,2019-04-29 14:18:09,0.002s,PASSED
"myIniDate = ""$('#"" + checkinId + ""').val('"" + iniDate + ""')""",Chrome 74.0.3729.108,,2019-04-29 14:18:09,2019-04-29 14:18:09,0.001s,PASSED
"endDate = moEnd + ""/"" + dayEnd + ""/"" + yrEnd",Chrome 74.0.3729.108,,2019-04-29 14:18:09,2019-04-29 14:18:09,0.001s,PASSED
"myEndDate = ""$('#"" + checkoutId + ""').val('"" + endDate + ""')""",Chrome 74.0.3729.108,,2019-04-29 14:18:09,2019-04-29 14:18:09,0.001s,PASSED
strMoIni = bookitKeywords.commonFunctions.getMonthName(moIni),Chrome 74.0.3729.108,,2019-04-29 14:18:09,2019-04-29 14:18:09,0.009s,PASSED
strMoEnd = bookitKeywords.commonFunctions.getMonthName(moEnd),Chrome 74.0.3729.108,,2019-04-29 14:18:09,2019-04-29 14:18:09,0.001s,PASSED
dIni = Integer.parseInt(dayIni),Chrome 74.0.3729.108,,2019-04-29 14:18:09,2019-04-29 14:18:09,0.002s,PASSED
dEnd = Integer.parseInt(dayEnd),Chrome 74.0.3729.108,,2019-04-29 14:18:09,2019-04-29 14:18:09,0.001s,PASSED
println(dIni),Chrome 74.0.3729.108,,2019-04-29 14:18:09,2019-04-29 14:18:09,0.005s,PASSED
println(dEnd),Chrome 74.0.3729.108,,2019-04-29 14:18:09,2019-04-29 14:18:09,0.001s,PASSED
"click(findTestObject(""homepage/checkin_date""))",Chrome 74.0.3729.108,,2019-04-29 14:18:09,2019-04-29 14:18:09,0.107s,PASSED
