Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteForBookit,Chrome 74.0.3729.108,,2019-04-29 13:38:47,2019-04-29 13:39:12,24.748s,PASSED
,,,,,,
Test Cases/Booking02,Chrome 74.0.3729.108,,2019-04-29 13:38:48,2019-04-29 13:39:12,24.402s,PASSED
"openBrowser(""https://bookit-qa6.com"")",Chrome 74.0.3729.108,,2019-04-29 13:38:49,2019-04-29 13:38:56,7.273s,PASSED
"click(findTestObject(""homepage/flight_checkbox""))",Chrome 74.0.3729.108,,2019-04-29 13:38:56,2019-04-29 13:38:57,1.541s,PASSED
"setText(findTestObject(""homepage/city_or_airport""), ""cheese"")",Chrome 74.0.3729.108,,2019-04-29 13:38:57,2019-04-29 13:38:58,0.638s,PASSED
delay(1),Chrome 74.0.3729.108,,2019-04-29 13:38:58,2019-04-29 13:38:59,1.028s,PASSED
"click(findTestObject(""homepage/div_Cheese City IL US""))",Chrome 74.0.3729.108,,2019-04-29 13:38:59,2019-04-29 13:38:59,0.110s,PASSED
"checkinId = getAttribute(findTestObject(""homepage/checkin_date""), ""id"")",Chrome 74.0.3729.108,,2019-04-29 13:38:59,2019-04-29 13:38:59,0.050s,PASSED
"checkoutId = getAttribute(findTestObject(""homepage/checkout_date""), ""id"")",Chrome 74.0.3729.108,,2019-04-29 13:38:59,2019-04-29 13:38:59,0.047s,PASSED
"iniDate = moIni + ""/"" + dayIni + ""/"" + yrIni",Chrome 74.0.3729.108,,2019-04-29 13:38:59,2019-04-29 13:38:59,0.002s,PASSED
"myIniDate = ""$('#"" + checkinId + ""').val('"" + iniDate + ""')""",Chrome 74.0.3729.108,,2019-04-29 13:38:59,2019-04-29 13:38:59,0.002s,PASSED
"endDate = moEnd + ""/"" + dayEnd + ""/"" + yrEnd",Chrome 74.0.3729.108,,2019-04-29 13:38:59,2019-04-29 13:38:59,0.000s,PASSED
"myEndDate = ""$('#"" + checkoutId + ""').val('"" + endDate + ""')""",Chrome 74.0.3729.108,,2019-04-29 13:38:59,2019-04-29 13:38:59,0.001s,PASSED
strMoIni = bookitKeywords.commonFunctions.getMonthName(moIni),Chrome 74.0.3729.108,,2019-04-29 13:38:59,2019-04-29 13:38:59,0.008s,PASSED
strMoEnd = bookitKeywords.commonFunctions.getMonthName(moEnd),Chrome 74.0.3729.108,,2019-04-29 13:38:59,2019-04-29 13:38:59,0.001s,PASSED
"click(findTestObject(""homepage/checkin_date""))",Chrome 74.0.3729.108,,2019-04-29 13:38:59,2019-04-29 13:38:59,0.106s,PASSED
delay(1),Chrome 74.0.3729.108,,2019-04-29 13:38:59,2019-04-29 13:39:00,1.004s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_month1""), 1, CONTINUE_ON_FAILURE))",Chrome 74.0.3729.108,,2019-04-29 13:39:00,2019-04-29 13:39:02,1.738s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_year1""), 1, CONTINUE_ON_FAILURE))",Chrome 74.0.3729.108,,2019-04-29 13:39:02,2019-04-29 13:39:03,1.335s,PASSED
