Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteForBookit2,Chrome 74.0.3729.131,,2019-05-02 13:48:54,2019-05-02 13:51:06,2m - 12.134s,FAILED
,,,,,,
Test Cases/Booking03,Chrome 74.0.3729.131,,2019-05-02 13:48:54,2019-05-02 13:49:14,19.744s,FAILED
"openBrowser(""https://bookit-qa6.com"")",Chrome 74.0.3729.131,,2019-05-02 13:48:55,2019-05-02 13:49:03,7.624s,PASSED
"click(findTestObject(""homepage/flight_checkbox""))",Chrome 74.0.3729.131,,2019-05-02 13:49:03,2019-05-02 13:49:05,1.788s,PASSED
"setText(findTestObject(""homepage/city_or_airport""), ""cheese"")",Chrome 74.0.3729.131,,2019-05-02 13:49:05,2019-05-02 13:49:05,0.659s,PASSED
delay(1),Chrome 74.0.3729.131,,2019-05-02 13:49:05,2019-05-02 13:49:06,1.029s,PASSED
"click(findTestObject(""homepage/div_Cheese City IL US""))",Chrome 74.0.3729.131,,2019-05-02 13:49:06,2019-05-02 13:49:06,0.137s,PASSED
"checkinId = getAttribute(findTestObject(""homepage/checkin_date""), ""id"")",Chrome 74.0.3729.131,,2019-05-02 13:49:06,2019-05-02 13:49:07,0.051s,PASSED
"checkoutId = getAttribute(findTestObject(""homepage/checkout_date""), ""id"")",Chrome 74.0.3729.131,,2019-05-02 13:49:07,2019-05-02 13:49:07,0.055s,PASSED
"iniDate = moIni + ""/"" + dayIni + ""/"" + yrIni",Chrome 74.0.3729.131,,2019-05-02 13:49:07,2019-05-02 13:49:07,0.028s,PASSED
"myIniDate = ""$('#"" + checkinId + ""').val('"" + iniDate + ""')""",Chrome 74.0.3729.131,,2019-05-02 13:49:07,2019-05-02 13:49:07,0.003s,PASSED
"endDate = moEnd + ""/"" + dayEnd + ""/"" + yrEnd",Chrome 74.0.3729.131,,2019-05-02 13:49:07,2019-05-02 13:49:07,0.002s,PASSED
"myEndDate = ""$('#"" + checkoutId + ""').val('"" + endDate + ""')""",Chrome 74.0.3729.131,,2019-05-02 13:49:07,2019-05-02 13:49:07,0.002s,PASSED
strMoIni = bookitKeywords.commonFunctions.getMonthName(moIni),Chrome 74.0.3729.131,,2019-05-02 13:49:07,2019-05-02 13:49:07,0.010s,PASSED
strMoEnd = bookitKeywords.commonFunctions.getMonthName(moEnd),Chrome 74.0.3729.131,,2019-05-02 13:49:07,2019-05-02 13:49:07,0.003s,PASSED
dIni = Integer.parseInt(dayIni),Chrome 74.0.3729.131,,2019-05-02 13:49:07,2019-05-02 13:49:07,0.004s,PASSED
dEnd = Integer.parseInt(dayEnd),Chrome 74.0.3729.131,,2019-05-02 13:49:07,2019-05-02 13:49:07,0.007s,PASSED
println(dIni),Chrome 74.0.3729.131,,2019-05-02 13:49:07,2019-05-02 13:49:07,0.010s,PASSED
println(dEnd),Chrome 74.0.3729.131,,2019-05-02 13:49:07,2019-05-02 13:49:07,0.002s,PASSED
"click(findTestObject(""homepage/checkin_date""))",Chrome 74.0.3729.131,,2019-05-02 13:49:07,2019-05-02 13:49:07,0.131s,PASSED
delay(1),Chrome 74.0.3729.131,,2019-05-02 13:49:07,2019-05-02 13:49:08,1.005s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_month1""), 1, CONTINUE_ON_FAILURE))",Chrome 74.0.3729.131,,2019-05-02 13:49:08,2019-05-02 13:49:09,1.592s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_year1""), 1, CONTINUE_ON_FAILURE))",Chrome 74.0.3729.131,,2019-05-02 13:49:09,2019-05-02 13:49:11,1.341s,PASSED
"dynxpath = ""//div[contains(@class, 'pika-single') and contains(@class, 'is-bound') and not(contains(@class, 'is-hidden'))]/div[@class='pika-lendar'][1]/table[@class='pika-table']/tbody/tr/td/button[count(. | //*[@type = 'button' and @data-pika-day = '"" + dIni + ""']) = count(//*[@type = 'button' and @data-pika-day = '"" + dIni + ""'])]""",Chrome 74.0.3729.131,,2019-05-02 13:49:11,2019-05-02 13:49:11,0.002s,PASSED
to = new com.kms.katalon.core.testobject.TestObject(eldia),Chrome 74.0.3729.131,,2019-05-02 13:49:11,2019-05-02 13:49:11,0.007s,PASSED
"to.addProperty(""xpath"", EQUALS, dynxpath)",Chrome 74.0.3729.131,,2019-05-02 13:49:11,2019-05-02 13:49:11,0.033s,PASSED
click(to),Chrome 74.0.3729.131,,2019-05-02 13:49:11,2019-05-02 13:49:12,1.203s,FAILED
,,,,,,
Test Cases/Booking03,Chrome 74.0.3729.131,,2019-05-02 13:49:14,2019-05-02 13:50:02,47.847s,FAILED
"openBrowser(""https://bookit-qa6.com"")",Chrome 74.0.3729.131,,2019-05-02 13:49:14,2019-05-02 13:49:19,5.272s,PASSED
"click(findTestObject(""homepage/flight_checkbox""))",Chrome 74.0.3729.131,,2019-05-02 13:49:19,2019-05-02 13:49:22,2.243s,PASSED
"setText(findTestObject(""homepage/city_or_airport""), ""cheese"")",Chrome 74.0.3729.131,,2019-05-02 13:49:22,2019-05-02 13:49:22,0.553s,PASSED
delay(1),Chrome 74.0.3729.131,,2019-05-02 13:49:22,2019-05-02 13:49:23,1.005s,PASSED
"click(findTestObject(""homepage/div_Cheese City IL US""))",Chrome 74.0.3729.131,,2019-05-02 13:49:23,2019-05-02 13:49:23,0.150s,PASSED
"checkinId = getAttribute(findTestObject(""homepage/checkin_date""), ""id"")",Chrome 74.0.3729.131,,2019-05-02 13:49:23,2019-05-02 13:49:23,0.064s,PASSED
"checkoutId = getAttribute(findTestObject(""homepage/checkout_date""), ""id"")",Chrome 74.0.3729.131,,2019-05-02 13:49:23,2019-05-02 13:49:23,0.073s,PASSED
"iniDate = moIni + ""/"" + dayIni + ""/"" + yrIni",Chrome 74.0.3729.131,,2019-05-02 13:49:23,2019-05-02 13:49:24,0.003s,PASSED
"myIniDate = ""$('#"" + checkinId + ""').val('"" + iniDate + ""')""",Chrome 74.0.3729.131,,2019-05-02 13:49:24,2019-05-02 13:49:24,0.005s,PASSED
"endDate = moEnd + ""/"" + dayEnd + ""/"" + yrEnd",Chrome 74.0.3729.131,,2019-05-02 13:49:24,2019-05-02 13:49:24,0.002s,PASSED
"myEndDate = ""$('#"" + checkoutId + ""').val('"" + endDate + ""')""",Chrome 74.0.3729.131,,2019-05-02 13:49:24,2019-05-02 13:49:24,0.003s,PASSED
strMoIni = bookitKeywords.commonFunctions.getMonthName(moIni),Chrome 74.0.3729.131,,2019-05-02 13:49:24,2019-05-02 13:49:24,0.002s,PASSED
