Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteForBookit2,Chrome 74.0.3729.131,,2019-05-08 10:24:51,2019-05-08 10:26:38,1m - 47.098s,PASSED
,,,,,,
Test Cases/Booking03,Chrome 74.0.3729.131,,2019-05-08 10:24:52,2019-05-08 10:25:19,27.719s,PASSED
"openBrowser(""https://bookit-qa6.com"")",Chrome 74.0.3729.131,,2019-05-08 10:24:53,2019-05-08 10:24:58,5.734s,PASSED
"click(findTestObject(""homepage/flight_checkbox""))",Chrome 74.0.3729.131,,2019-05-08 10:24:58,2019-05-08 10:25:00,2.166s,PASSED
"setText(findTestObject(""homepage/city_or_airport""), ""cheese"")",Chrome 74.0.3729.131,,2019-05-08 10:25:00,2019-05-08 10:25:01,0.286s,PASSED
delay(1),Chrome 74.0.3729.131,,2019-05-08 10:25:01,2019-05-08 10:25:02,1.035s,PASSED
"click(findTestObject(""homepage/div_Cheese City IL US""))",Chrome 74.0.3729.131,,2019-05-08 10:25:02,2019-05-08 10:25:02,0.124s,PASSED
"checkinId = getAttribute(findTestObject(""homepage/checkin_date""), ""id"")",Chrome 74.0.3729.131,,2019-05-08 10:25:02,2019-05-08 10:25:02,0.053s,PASSED
"checkoutId = getAttribute(findTestObject(""homepage/checkout_date""), ""id"")",Chrome 74.0.3729.131,,2019-05-08 10:25:02,2019-05-08 10:25:02,0.055s,PASSED
"iniDate = moIni + ""/"" + dayIni + ""/"" + yrIni",Chrome 74.0.3729.131,,2019-05-08 10:25:02,2019-05-08 10:25:02,0.002s,PASSED
"myIniDate = ""$('#"" + checkinId + ""').val('"" + iniDate + ""')""",Chrome 74.0.3729.131,,2019-05-08 10:25:02,2019-05-08 10:25:02,0.001s,PASSED
"endDate = moEnd + ""/"" + dayEnd + ""/"" + yrEnd",Chrome 74.0.3729.131,,2019-05-08 10:25:02,2019-05-08 10:25:02,0.001s,PASSED
"myEndDate = ""$('#"" + checkoutId + ""').val('"" + endDate + ""')""",Chrome 74.0.3729.131,,2019-05-08 10:25:02,2019-05-08 10:25:02,0.000s,PASSED
strMoIni = bookitKeywords.commonFunctions.getMonthName(moIni),Chrome 74.0.3729.131,,2019-05-08 10:25:02,2019-05-08 10:25:02,0.008s,PASSED
strMoEnd = bookitKeywords.commonFunctions.getMonthName(moEnd),Chrome 74.0.3729.131,,2019-05-08 10:25:02,2019-05-08 10:25:02,0.002s,PASSED
dIni = Integer.parseInt(dayIni),Chrome 74.0.3729.131,,2019-05-08 10:25:02,2019-05-08 10:25:02,0.002s,PASSED
dEnd = Integer.parseInt(dayEnd),Chrome 74.0.3729.131,,2019-05-08 10:25:02,2019-05-08 10:25:02,0.002s,PASSED
