Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteForBookit,Chrome 74.0.3729.108,,2019-04-29 14:09:52,2019-04-29 14:11:17,1m - 25.210s,PASSED
,,,,,,
Test Cases/Booking02,Chrome 74.0.3729.108,,2019-04-29 14:09:52,2019-04-29 14:10:15,22.858s,PASSED
"openBrowser(""https://bookit-qa6.com"")",Chrome 74.0.3729.108,,2019-04-29 14:09:53,2019-04-29 14:09:59,6.215s,PASSED
"click(findTestObject(""homepage/flight_checkbox""))",Chrome 74.0.3729.108,,2019-04-29 14:09:59,2019-04-29 14:10:01,2.135s,PASSED
"setText(findTestObject(""homepage/city_or_airport""), ""cheese"")",Chrome 74.0.3729.108,,2019-04-29 14:10:01,2019-04-29 14:10:02,0.495s,PASSED
delay(1),Chrome 74.0.3729.108,,2019-04-29 14:10:02,2019-04-29 14:10:03,1.032s,PASSED
"click(findTestObject(""homepage/div_Cheese City IL US""))",Chrome 74.0.3729.108,,2019-04-29 14:10:03,2019-04-29 14:10:03,0.107s,PASSED
"checkinId = getAttribute(findTestObject(""homepage/checkin_date""), ""id"")",Chrome 74.0.3729.108,,2019-04-29 14:10:03,2019-04-29 14:10:03,0.044s,PASSED
"checkoutId = getAttribute(findTestObject(""homepage/checkout_date""), ""id"")",Chrome 74.0.3729.108,,2019-04-29 14:10:03,2019-04-29 14:10:03,0.033s,PASSED
"iniDate = moIni + ""/"" + dayIni + ""/"" + yrIni",Chrome 74.0.3729.108,,2019-04-29 14:10:03,2019-04-29 14:10:03,0.001s,PASSED
"myIniDate = ""$('#"" + checkinId + ""').val('"" + iniDate + ""')""",Chrome 74.0.3729.108,,2019-04-29 14:10:03,2019-04-29 14:10:03,0.002s,PASSED
"endDate = moEnd + ""/"" + dayEnd + ""/"" + yrEnd",Chrome 74.0.3729.108,,2019-04-29 14:10:03,2019-04-29 14:10:03,0.001s,PASSED
"myEndDate = ""$('#"" + checkoutId + ""').val('"" + endDate + ""')""",Chrome 74.0.3729.108,,2019-04-29 14:10:03,2019-04-29 14:10:03,0.001s,PASSED
strMoIni = bookitKeywords.commonFunctions.getMonthName(moIni),Chrome 74.0.3729.108,,2019-04-29 14:10:03,2019-04-29 14:10:03,0.008s,PASSED
strMoEnd = bookitKeywords.commonFunctions.getMonthName(moEnd),Chrome 74.0.3729.108,,2019-04-29 14:10:03,2019-04-29 14:10:03,0.001s,PASSED
dIni = Integer.parseInt(dayIni),Chrome 74.0.3729.108,,2019-04-29 14:10:03,2019-04-29 14:10:03,0.001s,PASSED
dEnd = Integer.parseInt(dayEnd),Chrome 74.0.3729.108,,2019-04-29 14:10:03,2019-04-29 14:10:03,0.001s,PASSED
println(dIni),Chrome 74.0.3729.108,,2019-04-29 14:10:03,2019-04-29 14:10:03,0.004s,PASSED
println(dEnd),Chrome 74.0.3729.108,,2019-04-29 14:10:03,2019-04-29 14:10:03,0.001s,PASSED
"click(findTestObject(""homepage/checkin_date""))",Chrome 74.0.3729.108,,2019-04-29 14:10:03,2019-04-29 14:10:03,0.104s,PASSED
delay(1),Chrome 74.0.3729.108,,2019-04-29 14:10:03,2019-04-29 14:10:04,1.003s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_month1""), 1, CONTINUE_ON_FAILURE))",Chrome 74.0.3729.108,,2019-04-29 14:10:04,2019-04-29 14:10:06,1.668s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_year1""), 1, CONTINUE_ON_FAILURE))",Chrome 74.0.3729.108,,2019-04-29 14:10:06,2019-04-29 14:10:07,1.378s,PASSED
"dynxpath = ""//div[contains(@class, 'pika-single') and contains(@class, 'is-bound') and not(contains(@class, 'is-hidden'))]/div[@class='pika-lendar'][1]/table[@class='pika-table']/tbody/tr/td/button[count(. | //*[@type = 'button' and @data-pika-day = '"" + dIni + ""']) = count(//*[@type = 'button' and @data-pika-day = '"" + dIni + ""'])]""",Chrome 74.0.3729.108,,2019-04-29 14:10:07,2019-04-29 14:10:07,0.000s,PASSED
to = new com.kms.katalon.core.testobject.TestObject(eldia),Chrome 74.0.3729.108,,2019-04-29 14:10:07,2019-04-29 14:10:07,0.001s,PASSED
"to.addProperty(""xpath"", EQUALS, dynxpath)",Chrome 74.0.3729.108,,2019-04-29 14:10:07,2019-04-29 14:10:07,0.009s,PASSED
click(to),Chrome 74.0.3729.108,,2019-04-29 14:10:07,2019-04-29 14:10:07,0.174s,PASSED
"click(findTestObject(""homepage/checkout_date""))",Chrome 74.0.3729.108,,2019-04-29 14:10:07,2019-04-29 14:10:08,0.098s,PASSED
delay(1),Chrome 74.0.3729.108,,2019-04-29 14:10:08,2019-04-29 14:10:09,1.003s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_month2""), 1, CONTINUE_ON_FAILURE))",Chrome 74.0.3729.108,,2019-04-29 14:10:09,2019-04-29 14:10:10,1.587s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_year2""), 1, CONTINUE_ON_FAILURE))",Chrome 74.0.3729.108,,2019-04-29 14:10:10,2019-04-29 14:10:12,1.374s,PASSED
"dynxpath2 = ""//div[contains(@class, 'pika-single') and contains(@class, 'is-bound') and not(contains(@class, 'is-hidden'))]/div[@class='pika-lendar'][1]/table[@class='pika-table']/tbody/tr/td/button[count(. | //*[@type = 'button' and @data-pika-day = '"" + dEnd + ""']) = count(//*[@type = 'button' and @data-pika-day = '"" + dEnd + ""'])]""",Chrome 74.0.3729.108,,2019-04-29 14:10:12,2019-04-29 14:10:12,0.010s,PASSED
to2 = new com.kms.katalon.core.testobject.TestObject(eldia2),Chrome 74.0.3729.108,,2019-04-29 14:10:12,2019-04-29 14:10:12,0.000s,PASSED
"to2.addProperty(""xpath"", EQUALS, dynxpath2)",Chrome 74.0.3729.108,,2019-04-29 14:10:12,2019-04-29 14:10:12,0.000s,PASSED
click(to2),Chrome 74.0.3729.108,,2019-04-29 14:10:12,2019-04-29 14:10:12,0.187s,PASSED
"click(findTestObject(""homepage/button_Search""))",Chrome 74.0.3729.108,,2019-04-29 14:10:12,2019-04-29 14:10:12,0.127s,PASSED
waitForPageLoad(5),Chrome 74.0.3729.108,,2019-04-29 14:10:12,2019-04-29 14:10:15,2.689s,PASSED
closeBrowser(),Chrome 74.0.3729.108,,2019-04-29 14:10:15,2019-04-29 14:10:15,0.692s,PASSED
,,,,,,
Test Cases/Booking02,Chrome 74.0.3729.108,,2019-04-29 14:10:15,2019-04-29 14:10:37,21.789s,PASSED
"openBrowser(""https://bookit-qa6.com"")",Chrome 74.0.3729.108,,2019-04-29 14:10:15,2019-04-29 14:10:20,4.579s,PASSED
"click(findTestObject(""homepage/flight_checkbox""))",Chrome 74.0.3729.108,,2019-04-29 14:10:20,2019-04-29 14:10:22,1.721s,PASSED
"setText(findTestObject(""homepage/city_or_airport""), ""cheese"")",Chrome 74.0.3729.108,,2019-04-29 14:10:22,2019-04-29 14:10:22,0.460s,PASSED
delay(1),Chrome 74.0.3729.108,,2019-04-29 14:10:22,2019-04-29 14:10:23,1.004s,PASSED
"click(findTestObject(""homepage/div_Cheese City IL US""))",Chrome 74.0.3729.108,,2019-04-29 14:10:23,2019-04-29 14:10:23,0.139s,PASSED
"checkinId = getAttribute(findTestObject(""homepage/checkin_date""), ""id"")",Chrome 74.0.3729.108,,2019-04-29 14:10:23,2019-04-29 14:10:23,0.039s,PASSED
"checkoutId = getAttribute(findTestObject(""homepage/checkout_date""), ""id"")",Chrome 74.0.3729.108,,2019-04-29 14:10:23,2019-04-29 14:10:23,0.040s,PASSED
"iniDate = moIni + ""/"" + dayIni + ""/"" + yrIni",Chrome 74.0.3729.108,,2019-04-29 14:10:23,2019-04-29 14:10:23,0.000s,PASSED
"myIniDate = ""$('#"" + checkinId + ""').val('"" + iniDate + ""')""",Chrome 74.0.3729.108,,2019-04-29 14:10:23,2019-04-29 14:10:23,0.000s,PASSED
"endDate = moEnd + ""/"" + dayEnd + ""/"" + yrEnd",Chrome 74.0.3729.108,,2019-04-29 14:10:23,2019-04-29 14:10:23,0.000s,PASSED
"myEndDate = ""$('#"" + checkoutId + ""').val('"" + endDate + ""')""",Chrome 74.0.3729.108,,2019-04-29 14:10:23,2019-04-29 14:10:23,0.000s,PASSED
strMoIni = bookitKeywords.commonFunctions.getMonthName(moIni),Chrome 74.0.3729.108,,2019-04-29 14:10:23,2019-04-29 14:10:23,0.000s,PASSED
strMoEnd = bookitKeywords.commonFunctions.getMonthName(moEnd),Chrome 74.0.3729.108,,2019-04-29 14:10:23,2019-04-29 14:10:23,0.001s,PASSED
dIni = Integer.parseInt(dayIni),Chrome 74.0.3729.108,,2019-04-29 14:10:23,2019-04-29 14:10:23,0.000s,PASSED
dEnd = Integer.parseInt(dayEnd),Chrome 74.0.3729.108,,2019-04-29 14:10:23,2019-04-29 14:10:23,0.000s,PASSED
println(dIni),Chrome 74.0.3729.108,,2019-04-29 14:10:23,2019-04-29 14:10:23,0.000s,PASSED
println(dEnd),Chrome 74.0.3729.108,,2019-04-29 14:10:23,2019-04-29 14:10:23,0.001s,PASSED
"click(findTestObject(""homepage/checkin_date""))",Chrome 74.0.3729.108,,2019-04-29 14:10:23,2019-04-29 14:10:23,0.118s,PASSED
delay(1),Chrome 74.0.3729.108,,2019-04-29 14:10:23,2019-04-29 14:10:24,1.003s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_month1""), 1, CONTINUE_ON_FAILURE))",Chrome 74.0.3729.108,,2019-04-29 14:10:24,2019-04-29 14:10:26,1.623s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_year1""), 1, CONTINUE_ON_FAILURE))",Chrome 74.0.3729.108,,2019-04-29 14:10:26,2019-04-29 14:10:27,1.371s,PASSED
"dynxpath = ""//div[contains(@class, 'pika-single') and contains(@class, 'is-bound') and not(contains(@class, 'is-hidden'))]/div[@class='pika-lendar'][1]/table[@class='pika-table']/tbody/tr/td/button[count(. | //*[@type = 'button' and @data-pika-day = '"" + dIni + ""']) = count(//*[@type = 'button' and @data-pika-day = '"" + dIni + ""'])]""",Chrome 74.0.3729.108,,2019-04-29 14:10:27,2019-04-29 14:10:27,0.010s,PASSED
to = new com.kms.katalon.core.testobject.TestObject(eldia),Chrome 74.0.3729.108,,2019-04-29 14:10:27,2019-04-29 14:10:27,0.010s,PASSED
"to.addProperty(""xpath"", EQUALS, dynxpath)",Chrome 74.0.3729.108,,2019-04-29 14:10:27,2019-04-29 14:10:27,0.000s,PASSED
click(to),Chrome 74.0.3729.108,,2019-04-29 14:10:27,2019-04-29 14:10:28,0.191s,PASSED
"click(findTestObject(""homepage/checkout_date""))",Chrome 74.0.3729.108,,2019-04-29 14:10:28,2019-04-29 14:10:28,0.096s,PASSED
delay(1),Chrome 74.0.3729.108,,2019-04-29 14:10:28,2019-04-29 14:10:29,1.003s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_month2""), 1, CONTINUE_ON_FAILURE))",Chrome 74.0.3729.108,,2019-04-29 14:10:29,2019-04-29 14:10:30,1.551s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_year2""), 1, CONTINUE_ON_FAILURE))",Chrome 74.0.3729.108,,2019-04-29 14:10:30,2019-04-29 14:10:32,1.376s,PASSED
"dynxpath2 = ""//div[contains(@class, 'pika-single') and contains(@class, 'is-bound') and not(contains(@class, 'is-hidden'))]/div[@class='pika-lendar'][1]/table[@class='pika-table']/tbody/tr/td/button[count(. | //*[@type = 'button' and @data-pika-day = '"" + dEnd + ""']) = count(//*[@type = 'button' and @data-pika-day = '"" + dEnd + ""'])]""",Chrome 74.0.3729.108,,2019-04-29 14:10:32,2019-04-29 14:10:32,0.010s,PASSED
to2 = new com.kms.katalon.core.testobject.TestObject(eldia2),Chrome 74.0.3729.108,,2019-04-29 14:10:32,2019-04-29 14:10:32,0.010s,PASSED
"to2.addProperty(""xpath"", EQUALS, dynxpath2)",Chrome 74.0.3729.108,,2019-04-29 14:10:32,2019-04-29 14:10:32,0.000s,PASSED
click(to2),Chrome 74.0.3729.108,,2019-04-29 14:10:32,2019-04-29 14:10:32,0.198s,PASSED
"click(findTestObject(""homepage/button_Search""))",Chrome 74.0.3729.108,,2019-04-29 14:10:32,2019-04-29 14:10:32,0.139s,PASSED
waitForPageLoad(5),Chrome 74.0.3729.108,,2019-04-29 14:10:32,2019-04-29 14:10:36,4.380s,PASSED
closeBrowser(),Chrome 74.0.3729.108,,2019-04-29 14:10:36,2019-04-29 14:10:37,0.671s,PASSED
,,,,,,
Test Cases/Booking02,Chrome 74.0.3729.108,,2019-04-29 14:10:37,2019-04-29 14:10:58,20.643s,PASSED
"openBrowser(""https://bookit-qa6.com"")",Chrome 74.0.3729.108,,2019-04-29 14:10:37,2019-04-29 14:10:42,5.240s,PASSED
"click(findTestObject(""homepage/flight_checkbox""))",Chrome 74.0.3729.108,,2019-04-29 14:10:42,2019-04-29 14:10:45,2.159s,PASSED
"setText(findTestObject(""homepage/city_or_airport""), ""cheese"")",Chrome 74.0.3729.108,,2019-04-29 14:10:45,2019-04-29 14:10:45,0.390s,PASSED
delay(1),Chrome 74.0.3729.108,,2019-04-29 14:10:45,2019-04-29 14:10:46,1.001s,PASSED
"click(findTestObject(""homepage/div_Cheese City IL US""))",Chrome 74.0.3729.108,,2019-04-29 14:10:46,2019-04-29 14:10:46,0.099s,PASSED
"checkinId = getAttribute(findTestObject(""homepage/checkin_date""), ""id"")",Chrome 74.0.3729.108,,2019-04-29 14:10:46,2019-04-29 14:10:46,0.041s,PASSED
"checkoutId = getAttribute(findTestObject(""homepage/checkout_date""), ""id"")",Chrome 74.0.3729.108,,2019-04-29 14:10:46,2019-04-29 14:10:46,0.036s,PASSED
"iniDate = moIni + ""/"" + dayIni + ""/"" + yrIni",Chrome 74.0.3729.108,,2019-04-29 14:10:46,2019-04-29 14:10:46,0.000s,PASSED
"myIniDate = ""$('#"" + checkinId + ""').val('"" + iniDate + ""')""",Chrome 74.0.3729.108,,2019-04-29 14:10:46,2019-04-29 14:10:46,0.000s,PASSED
"endDate = moEnd + ""/"" + dayEnd + ""/"" + yrEnd",Chrome 74.0.3729.108,,2019-04-29 14:10:46,2019-04-29 14:10:46,0.000s,PASSED
"myEndDate = ""$('#"" + checkoutId + ""').val('"" + endDate + ""')""",Chrome 74.0.3729.108,,2019-04-29 14:10:46,2019-04-29 14:10:46,0.000s,PASSED
strMoIni = bookitKeywords.commonFunctions.getMonthName(moIni),Chrome 74.0.3729.108,,2019-04-29 14:10:46,2019-04-29 14:10:46,0.000s,PASSED
strMoEnd = bookitKeywords.commonFunctions.getMonthName(moEnd),Chrome 74.0.3729.108,,2019-04-29 14:10:46,2019-04-29 14:10:46,0.001s,PASSED
dIni = Integer.parseInt(dayIni),Chrome 74.0.3729.108,,2019-04-29 14:10:46,2019-04-29 14:10:46,0.000s,PASSED
dEnd = Integer.parseInt(dayEnd),Chrome 74.0.3729.108,,2019-04-29 14:10:46,2019-04-29 14:10:46,0.001s,PASSED
println(dIni),Chrome 74.0.3729.108,,2019-04-29 14:10:46,2019-04-29 14:10:46,0.001s,PASSED
println(dEnd),Chrome 74.0.3729.108,,2019-04-29 14:10:46,2019-04-29 14:10:46,0.000s,PASSED
"click(findTestObject(""homepage/checkin_date""))",Chrome 74.0.3729.108,,2019-04-29 14:10:46,2019-04-29 14:10:46,0.110s,PASSED
delay(1),Chrome 74.0.3729.108,,2019-04-29 14:10:46,2019-04-29 14:10:47,1.003s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_month1""), 1, CONTINUE_ON_FAILURE))",Chrome 74.0.3729.108,,2019-04-29 14:10:47,2019-04-29 14:10:49,1.562s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_year1""), 1, CONTINUE_ON_FAILURE))",Chrome 74.0.3729.108,,2019-04-29 14:10:49,2019-04-29 14:10:50,1.346s,PASSED
"dynxpath = ""//div[contains(@class, 'pika-single') and contains(@class, 'is-bound') and not(contains(@class, 'is-hidden'))]/div[@class='pika-lendar'][1]/table[@class='pika-table']/tbody/tr/td/button[count(. | //*[@type = 'button' and @data-pika-day = '"" + dIni + ""']) = count(//*[@type = 'button' and @data-pika-day = '"" + dIni + ""'])]""",Chrome 74.0.3729.108,,2019-04-29 14:10:50,2019-04-29 14:10:50,0.001s,PASSED
to = new com.kms.katalon.core.testobject.TestObject(eldia),Chrome 74.0.3729.108,,2019-04-29 14:10:50,2019-04-29 14:10:50,0.010s,PASSED
"to.addProperty(""xpath"", EQUALS, dynxpath)",Chrome 74.0.3729.108,,2019-04-29 14:10:50,2019-04-29 14:10:50,0.010s,PASSED
click(to),Chrome 74.0.3729.108,,2019-04-29 14:10:50,2019-04-29 14:10:50,0.174s,PASSED
"click(findTestObject(""homepage/checkout_date""))",Chrome 74.0.3729.108,,2019-04-29 14:10:50,2019-04-29 14:10:50,0.095s,PASSED
delay(1),Chrome 74.0.3729.108,,2019-04-29 14:10:50,2019-04-29 14:10:51,1.002s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_month2""), 1, CONTINUE_ON_FAILURE))",Chrome 74.0.3729.108,,2019-04-29 14:10:51,2019-04-29 14:10:53,1.587s,PASSED
