Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteForBookit2,Chrome 74.0.3729.131,,2019-05-02 14:20:58,2019-05-02 14:22:42,1m - 43.727s,PASSED
,,,,,,
Test Cases/Booking03,Chrome 74.0.3729.131,,2019-05-02 14:20:59,2019-05-02 14:21:26,27.580s,PASSED
"openBrowser(""https://bookit-qa6.com"")",Chrome 74.0.3729.131,,2019-05-02 14:21:00,2019-05-02 14:21:05,5.814s,PASSED
"click(findTestObject(""homepage/flight_checkbox""))",Chrome 74.0.3729.131,,2019-05-02 14:21:05,2019-05-02 14:21:07,2.184s,PASSED
"setText(findTestObject(""homepage/city_or_airport""), ""cheese"")",Chrome 74.0.3729.131,,2019-05-02 14:21:07,2019-05-02 14:21:08,0.561s,PASSED
delay(1),Chrome 74.0.3729.131,,2019-05-02 14:21:08,2019-05-02 14:21:09,1.051s,PASSED
"click(findTestObject(""homepage/div_Cheese City IL US""))",Chrome 74.0.3729.131,,2019-05-02 14:21:09,2019-05-02 14:21:09,0.136s,PASSED
"checkinId = getAttribute(findTestObject(""homepage/checkin_date""), ""id"")",Chrome 74.0.3729.131,,2019-05-02 14:21:09,2019-05-02 14:21:09,0.059s,PASSED
"checkoutId = getAttribute(findTestObject(""homepage/checkout_date""), ""id"")",Chrome 74.0.3729.131,,2019-05-02 14:21:09,2019-05-02 14:21:09,0.054s,PASSED
"iniDate = moIni + ""/"" + dayIni + ""/"" + yrIni",Chrome 74.0.3729.131,,2019-05-02 14:21:09,2019-05-02 14:21:09,0.003s,PASSED
"myIniDate = ""$('#"" + checkinId + ""').val('"" + iniDate + ""')""",Chrome 74.0.3729.131,,2019-05-02 14:21:09,2019-05-02 14:21:09,0.003s,PASSED
"endDate = moEnd + ""/"" + dayEnd + ""/"" + yrEnd",Chrome 74.0.3729.131,,2019-05-02 14:21:09,2019-05-02 14:21:09,0.001s,PASSED
"myEndDate = ""$('#"" + checkoutId + ""').val('"" + endDate + ""')""",Chrome 74.0.3729.131,,2019-05-02 14:21:09,2019-05-02 14:21:09,0.002s,PASSED
strMoIni = bookitKeywords.commonFunctions.getMonthName(moIni),Chrome 74.0.3729.131,,2019-05-02 14:21:09,2019-05-02 14:21:09,0.009s,PASSED
strMoEnd = bookitKeywords.commonFunctions.getMonthName(moEnd),Chrome 74.0.3729.131,,2019-05-02 14:21:09,2019-05-02 14:21:09,0.002s,PASSED
dIni = Integer.parseInt(dayIni),Chrome 74.0.3729.131,,2019-05-02 14:21:09,2019-05-02 14:21:09,0.003s,PASSED
dEnd = Integer.parseInt(dayEnd),Chrome 74.0.3729.131,,2019-05-02 14:21:09,2019-05-02 14:21:09,0.004s,PASSED
println(dIni),Chrome 74.0.3729.131,,2019-05-02 14:21:09,2019-05-02 14:21:09,0.008s,PASSED
println(dEnd),Chrome 74.0.3729.131,,2019-05-02 14:21:09,2019-05-02 14:21:09,0.002s,PASSED
"click(findTestObject(""homepage/checkin_date""))",Chrome 74.0.3729.131,,2019-05-02 14:21:09,2019-05-02 14:21:10,0.114s,PASSED
delay(1),Chrome 74.0.3729.131,,2019-05-02 14:21:10,2019-05-02 14:21:11,1.007s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_month1""), 1, CONTINUE_ON_FAILURE))",Chrome 74.0.3729.131,,2019-05-02 14:21:11,2019-05-02 14:21:12,1.688s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_year1""), 1, CONTINUE_ON_FAILURE))",Chrome 74.0.3729.131,,2019-05-02 14:21:12,2019-05-02 14:21:14,1.381s,PASSED
"dynxpath = ""//div[contains(@class, 'pika-single') and contains(@class, 'is-bound') and not(contains(@class, 'is-hidden'))]/div[@class='pika-lendar'][1]/table[@class='pika-table']/tbody/tr/td/button[count(. | //*[@type = 'button' and @data-pika-day = '"" + dIni + ""']) = count(//*[@type = 'button' and @data-pika-day = '"" + dIni + ""'])]""",Chrome 74.0.3729.131,,2019-05-02 14:21:14,2019-05-02 14:21:14,0.017s,PASSED
to = new com.kms.katalon.core.testobject.TestObject(eldia),Chrome 74.0.3729.131,,2019-05-02 14:21:14,2019-05-02 14:21:14,0.016s,PASSED
"to.addProperty(""xpath"", EQUALS, dynxpath)",Chrome 74.0.3729.131,,2019-05-02 14:21:14,2019-05-02 14:21:14,0.001s,PASSED
click(to),Chrome 74.0.3729.131,,2019-05-02 14:21:14,2019-05-02 14:21:14,0.230s,PASSED
