Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteForBookit2,Chrome 74.0.3729.131,,2019-05-03 10:56:40,2019-05-03 10:58:38,1m - 58.292s,FAILED
,,,,,,
Test Cases/Booking03,Chrome 74.0.3729.131,,2019-05-03 10:56:40,2019-05-03 10:57:17,36.417s,FAILED
"openBrowser(""https://bookit-qa6.com"")",Chrome 74.0.3729.131,,2019-05-03 10:56:42,2019-05-03 10:56:55,12.491s,PASSED
"click(findTestObject(""homepage/flight_checkbox""))",Chrome 74.0.3729.131,,2019-05-03 10:56:55,2019-05-03 10:56:58,3.426s,PASSED
"setText(findTestObject(""homepage/city_or_airport""), ""cheese"")",Chrome 74.0.3729.131,,2019-05-03 10:56:58,2019-05-03 10:56:59,0.236s,PASSED
delay(1),Chrome 74.0.3729.131,,2019-05-03 10:56:59,2019-05-03 10:57:00,1.032s,PASSED
"click(findTestObject(""homepage/div_Cheese City IL US""))",Chrome 74.0.3729.131,,2019-05-03 10:57:00,2019-05-03 10:57:03,3.036s,PASSED
"checkinId = getAttribute(findTestObject(""homepage/checkin_date""), ""id"")",Chrome 74.0.3729.131,,2019-05-03 10:57:03,2019-05-03 10:57:03,0.054s,PASSED
"checkoutId = getAttribute(findTestObject(""homepage/checkout_date""), ""id"")",Chrome 74.0.3729.131,,2019-05-03 10:57:03,2019-05-03 10:57:03,0.294s,PASSED
"iniDate = moIni + ""/"" + dayIni + ""/"" + yrIni",Chrome 74.0.3729.131,,2019-05-03 10:57:03,2019-05-03 10:57:03,0.003s,PASSED
"myIniDate = ""$('#"" + checkinId + ""').val('"" + iniDate + ""')""",Chrome 74.0.3729.131,,2019-05-03 10:57:03,2019-05-03 10:57:03,0.003s,PASSED
"endDate = moEnd + ""/"" + dayEnd + ""/"" + yrEnd",Chrome 74.0.3729.131,,2019-05-03 10:57:03,2019-05-03 10:57:03,0.004s,PASSED
"myEndDate = ""$('#"" + checkoutId + ""').val('"" + endDate + ""')""",Chrome 74.0.3729.131,,2019-05-03 10:57:03,2019-05-03 10:57:03,0.006s,PASSED
strMoIni = bookitKeywords.commonFunctions.getMonthName(moIni),Chrome 74.0.3729.131,,2019-05-03 10:57:03,2019-05-03 10:57:03,0.011s,PASSED
strMoEnd = bookitKeywords.commonFunctions.getMonthName(moEnd),Chrome 74.0.3729.131,,2019-05-03 10:57:03,2019-05-03 10:57:03,0.002s,PASSED
dIni = Integer.parseInt(dayIni),Chrome 74.0.3729.131,,2019-05-03 10:57:03,2019-05-03 10:57:03,0.003s,PASSED
dEnd = Integer.parseInt(dayEnd),Chrome 74.0.3729.131,,2019-05-03 10:57:03,2019-05-03 10:57:03,0.003s,PASSED
println(dIni),Chrome 74.0.3729.131,,2019-05-03 10:57:03,2019-05-03 10:57:03,0.006s,PASSED
println(dEnd),Chrome 74.0.3729.131,,2019-05-03 10:57:03,2019-05-03 10:57:03,0.001s,PASSED
"click(findTestObject(""homepage/checkin_date""))",Chrome 74.0.3729.131,,2019-05-03 10:57:03,2019-05-03 10:57:03,0.161s,PASSED
delay(1),Chrome 74.0.3729.131,,2019-05-03 10:57:03,2019-05-03 10:57:04,1.007s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_month1""), 1, CONTINUE_ON_FAILURE))",Chrome 74.0.3729.131,,2019-05-03 10:57:04,2019-05-03 10:57:06,1.714s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_year1""), 1, CONTINUE_ON_FAILURE))",Chrome 74.0.3729.131,,2019-05-03 10:57:06,2019-05-03 10:57:07,1.538s,PASSED
"dynxpath = ""//div[contains(@class, 'pika-single') and contains(@class, 'is-bound') and not(contains(@class, 'is-hidden'))]/div[@class='pika-lendar'][1]/table[@class='pika-table']/tbody/tr/td/button[count(. | //*[@type = 'button' and @data-pika-day = '"" + dIni + ""']) = count(//*[@type = 'button' and @data-pika-day = '"" + dIni + ""'])]""",Chrome 74.0.3729.131,,2019-05-03 10:57:07,2019-05-03 10:57:07,0.017s,PASSED
to = new com.kms.katalon.core.testobject.TestObject(eldia),Chrome 74.0.3729.131,,2019-05-03 10:57:07,2019-05-03 10:57:07,0.001s,PASSED
"to.addProperty(""xpath"", EQUALS, dynxpath)",Chrome 74.0.3729.131,,2019-05-03 10:57:07,2019-05-03 10:57:08,0.048s,PASSED
click(to),Chrome 74.0.3729.131,,2019-05-03 10:57:08,2019-05-03 10:57:08,0.245s,PASSED
"click(findTestObject(""homepage/checkout_date""))",Chrome 74.0.3729.131,,2019-05-03 10:57:08,2019-05-03 10:57:08,0.176s,PASSED
delay(1),Chrome 74.0.3729.131,,2019-05-03 10:57:08,2019-05-03 10:57:09,1.005s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_month2""), 1, CONTINUE_ON_FAILURE))",Chrome 74.0.3729.131,,2019-05-03 10:57:09,2019-05-03 10:57:11,1.633s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_year2""), 1, CONTINUE_ON_FAILURE))",Chrome 74.0.3729.131,,2019-05-03 10:57:11,2019-05-03 10:57:12,1.437s,PASSED
"dynxpath2 = ""//div[contains(@class, 'pika-single') and contains(@class, 'is-bound') and not(contains(@class, 'is-hidden'))]/div[@class='pika-lendar'][1]/table[@class='pika-table']/tbody/tr/td/button[count(. | //*[@type = 'button' and @data-pika-day = '"" + dEnd + ""']) = count(//*[@type = 'button' and @data-pika-day = '"" + dEnd + ""'])]""",Chrome 74.0.3729.131,,2019-05-03 10:57:12,2019-05-03 10:57:12,0.004s,PASSED
to2 = new com.kms.katalon.core.testobject.TestObject(eldia2),Chrome 74.0.3729.131,,2019-05-03 10:57:12,2019-05-03 10:57:12,0.018s,PASSED
"to2.addProperty(""xpath"", EQUALS, dynxpath2)",Chrome 74.0.3729.131,,2019-05-03 10:57:12,2019-05-03 10:57:12,0.000s,PASSED
click(to2),Chrome 74.0.3729.131,,2019-05-03 10:57:12,2019-05-03 10:57:12,0.222s,PASSED
"selectOptionByValue(findTestObject(""homepage/select_rooms""), numRooms, false, CONTINUE_ON_FAILURE)",Chrome 74.0.3729.131,,2019-05-03 10:57:12,2019-05-03 10:57:12,0.114s,PASSED
delay(1),Chrome 74.0.3729.131,,2019-05-03 10:57:12,2019-05-03 10:57:13,1.004s,PASSED
"tadults = adults.split("","")",Chrome 74.0.3729.131,,2019-05-03 10:57:13,2019-05-03 10:57:13,0.003s,PASSED
tnumrooms = Integer.parseInt(numRooms),Chrome 74.0.3729.131,,2019-05-03 10:57:13,2019-05-03 10:57:13,0.001s,PASSED
"for ([i = 1, i <= tnumrooms, (i++)])",Chrome 74.0.3729.131,,2019-05-03 10:57:13,2019-05-03 10:57:14,1.040s,PASSED
,,,,,,
Test Cases/Booking03,Chrome 74.0.3729.131,,2019-05-03 10:57:17,2019-05-03 10:57:40,23.452s,FAILED
