Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteForBookit,Chrome 74.0.3729.131,,2019-05-02 14:02:56,2019-05-02 14:04:31,1m - 34.688s,FAILED
,,,,,,
Test Cases/Booking02,Chrome 74.0.3729.131,,2019-05-02 14:02:56,2019-05-02 14:03:19,22.635s,FAILED
"openBrowser(""https://bookit-qa6.com"")",Chrome 74.0.3729.131,,2019-05-02 14:02:57,2019-05-02 14:03:03,5.848s,PASSED
"click(findTestObject(""homepage/flight_checkbox""))",Chrome 74.0.3729.131,,2019-05-02 14:03:03,2019-05-02 14:03:09,5.949s,PASSED
"setText(findTestObject(""homepage/city_or_airport""), ""cheese"")",Chrome 74.0.3729.131,,2019-05-02 14:03:09,2019-05-02 14:03:09,0.275s,PASSED
delay(1),Chrome 74.0.3729.131,,2019-05-02 14:03:09,2019-05-02 14:03:10,1.027s,PASSED
"click(findTestObject(""homepage/div_Cheese City IL US""))",Chrome 74.0.3729.131,,2019-05-02 14:03:10,2019-05-02 14:03:10,0.149s,PASSED
"checkinId = getAttribute(findTestObject(""homepage/checkin_date""), ""id"")",Chrome 74.0.3729.131,,2019-05-02 14:03:10,2019-05-02 14:03:10,0.065s,PASSED
"checkoutId = getAttribute(findTestObject(""homepage/checkout_date""), ""id"")",Chrome 74.0.3729.131,,2019-05-02 14:03:10,2019-05-02 14:03:10,0.049s,PASSED
"iniDate = moIni + ""/"" + dayIni + ""/"" + yrIni",Chrome 74.0.3729.131,,2019-05-02 14:03:10,2019-05-02 14:03:10,0.003s,PASSED
"myIniDate = ""$('#"" + checkinId + ""').val('"" + iniDate + ""')""",Chrome 74.0.3729.131,,2019-05-02 14:03:10,2019-05-02 14:03:10,0.003s,PASSED
"endDate = moEnd + ""/"" + dayEnd + ""/"" + yrEnd",Chrome 74.0.3729.131,,2019-05-02 14:03:10,2019-05-02 14:03:10,0.002s,PASSED
"myEndDate = ""$('#"" + checkoutId + ""').val('"" + endDate + ""')""",Chrome 74.0.3729.131,,2019-05-02 14:03:10,2019-05-02 14:03:10,0.001s,PASSED
strMoIni = bookitKeywords.commonFunctions.getMonthName(moIni),Chrome 74.0.3729.131,,2019-05-02 14:03:10,2019-05-02 14:03:10,0.009s,PASSED
strMoEnd = bookitKeywords.commonFunctions.getMonthName(moEnd),Chrome 74.0.3729.131,,2019-05-02 14:03:10,2019-05-02 14:03:10,0.002s,PASSED
dIni = Integer.parseInt(dayIni),Chrome 74.0.3729.131,,2019-05-02 14:03:10,2019-05-02 14:03:10,0.003s,PASSED
dEnd = Integer.parseInt(dayEnd),Chrome 74.0.3729.131,,2019-05-02 14:03:10,2019-05-02 14:03:10,0.004s,PASSED
println(dIni),Chrome 74.0.3729.131,,2019-05-02 14:03:10,2019-05-02 14:03:10,0.010s,PASSED
println(dEnd),Chrome 74.0.3729.131,,2019-05-02 14:03:10,2019-05-02 14:03:10,0.004s,PASSED
"click(findTestObject(""homepage/checkin_date""))",Chrome 74.0.3729.131,,2019-05-02 14:03:10,2019-05-02 14:03:11,0.127s,PASSED
delay(1),Chrome 74.0.3729.131,,2019-05-02 14:03:11,2019-05-02 14:03:12,1.008s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_month1""), 1, CONTINUE_ON_FAILURE))",Chrome 74.0.3729.131,,2019-05-02 14:03:12,2019-05-02 14:03:13,1.722s,PASSED
"if (verifyElementPresent(findTestObject(""homepage/sel_date_year1""), 1, CONTINUE_ON_FAILURE))",Chrome 74.0.3729.131,,2019-05-02 14:03:13,2019-05-02 14:03:16,2.401s,PASSED
"dynxpath = ""//div[contains(@class, 'pika-single') and contains(@class, 'is-bound') and not(contains(@class, 'is-hidden'))]/div[@class='pika-lendar'][1]/table[@class='pika-table']/tbody/tr/td/button[count(. | //*[@type = 'button' and @data-pika-day = '"" + dIni + ""']) = count(//*[@type = 'button' and @data-pika-day = '"" + dIni + ""'])]""",Chrome 74.0.3729.131,,2019-05-02 14:03:16,2019-05-02 14:03:16,0.002s,PASSED
to = new com.kms.katalon.core.testobject.TestObject(eldia),Chrome 74.0.3729.131,,2019-05-02 14:03:16,2019-05-02 14:03:16,0.008s,PASSED
