Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteForBookit,Chrome 74.0.3729.108,,2019-04-29 14:11:52,2019-04-29 14:13:18,1m - 25.879s,PASSED
,,,,,,
Test Cases/Booking02,Chrome 74.0.3729.108,,2019-04-29 14:11:53,2019-04-29 14:12:16,22.863s,PASSED
"openBrowser(""https://bookit-qa6.com"")",Chrome 74.0.3729.108,,2019-04-29 14:11:53,2019-04-29 14:12:00,6.340s,PASSED
"click(findTestObject(""homepage/flight_checkbox""))",Chrome 74.0.3729.108,,2019-04-29 14:12:00,2019-04-29 14:12:02,1.864s,PASSED
"setText(findTestObject(""homepage/city_or_airport""), ""cheese"")",Chrome 74.0.3729.108,,2019-04-29 14:12:02,2019-04-29 14:12:02,0.392s,PASSED
delay(1),Chrome 74.0.3729.108,,2019-04-29 14:12:02,2019-04-29 14:12:03,1.023s,PASSED
"click(findTestObject(""homepage/div_Cheese City IL US""))",Chrome 74.0.3729.108,,2019-04-29 14:12:03,2019-04-29 14:12:03,0.136s,PASSED
"checkinId = getAttribute(findTestObject(""homepage/checkin_date""), ""id"")",Chrome 74.0.3729.108,,2019-04-29 14:12:03,2019-04-29 14:12:03,0.048s,PASSED
"checkoutId = getAttribute(findTestObject(""homepage/checkout_date""), ""id"")",Chrome 74.0.3729.108,,2019-04-29 14:12:03,2019-04-29 14:12:03,0.044s,PASSED
"iniDate = moIni + ""/"" + dayIni + ""/"" + yrIni",Chrome 74.0.3729.108,,2019-04-29 14:12:03,2019-04-29 14:12:03,0.002s,PASSED
"myIniDate = ""$('#"" + checkinId + ""').val('"" + iniDate + ""')""",Chrome 74.0.3729.108,,2019-04-29 14:12:03,2019-04-29 14:12:03,0.001s,PASSED
"endDate = moEnd + ""/"" + dayEnd + ""/"" + yrEnd",Chrome 74.0.3729.108,,2019-04-29 14:12:03,2019-04-29 14:12:03,0.001s,PASSED
"myEndDate = ""$('#"" + checkoutId + ""').val('"" + endDate + ""')""",Chrome 74.0.3729.108,,2019-04-29 14:12:03,2019-04-29 14:12:03,0.001s,PASSED
